"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2023","188.00","189.00","190.00","187.00","382.17K","-1.05%"
"02/07/2023","190.00","194.00","194.00","189.00","664.46K","-2.19%"
"02/06/2023","194.25","191.50","195.50","191.00","1.49M","1.30%"
"02/03/2023","191.75","190.50","193.00","190.00","921.64K","0.66%"
"02/02/2023","190.50","195.75","196.00","190.00","355.74K","-1.80%"
"02/01/2023","194.00","185.50","196.00","185.00","806.51K","4.30%"
"01/31/2023","186.00","184.50","188.00","183.00","308.30K","0.40%"
"01/30/2023","185.25","177.00","186.75","171.00","1.40M","-2.76%"
"01/27/2023","190.50","188.00","196.75","185.25","1.46M","0.40%"
"01/26/2023","189.75","191.25","191.25","185.00","289.84K","-1.17%"
"01/25/2023","192.00","196.00","196.50","189.00","574.94K","-2.04%"
"01/24/2023","196.00","198.50","199.50","193.50","412.17K","-1.26%"
"01/23/2023","198.50","200.00","204.00","197.00","558.52K","-0.25%"
"01/20/2023","199.00","190.25","200.00","189.00","1.12M","4.60%"
"01/19/2023","190.25","194.00","194.00","185.25","222.12K","0.66%"
"01/18/2023","189.00","194.00","194.50","185.00","457.20K","-0.53%"
"01/17/2023","190.00","173.00","195.00","172.00","811.78K","10.47%"
"01/13/2023","172.00","172.00","173.00","170.25","286.40K","-0.58%"
"01/12/2023","173.00","172.00","173.00","169.50","391.53K","0.58%"
"01/11/2023","172.00","171.50","172.00","169.00","206.99K","0.15%"
"01/10/2023","171.75","170.25","174.50","170.00","283.16K","0.73%"
"01/09/2023","170.50","173.50","173.50","168.00","483.19K","-1.73%"